month,location,count,latitude,longitude
2019-11,אבשלום,1,31.1950932,34.3307877
2019-11,אור הנר,1,31.5575591,34.6000531
2019-11,אחווה,1,32.782656,35.541232
2019-11,איבים,31,31.5332929,34.6100744
2019-11,אמונים,3,31.7453369,34.676988
2019-11,ארז,18,31.5605003,34.5666313
2019-11,אשבול,1,31.4475021,34.6664352
2019-11,אשקלון,21,31.6687545,34.5740485
2019-11,באר גנים,6,31.7000465,34.610653
2019-11,בארי,9,31.4241619,34.4911156
2019-11,ביצרון,2,31.7950527,34.7392791
2019-11,בית אלעזרי,3,31.8460836,34.8030534
2019-11,בית גמליאל,1,31.8582123,34.7639246
2019-11,בית הגדי,9,31.4239086,34.606739
2019-11,בית חלקיה,2,31.7926752,34.8108048
2019-11,בית חשמונאי,1,31.8889401,34.9165448
2019-11,בית עוזיאל,1,31.8693965,34.9051703
2019-11,בית עזרא,5,31.7366309,34.6563769
2019-11,בית שקמה,3,31.9750341,34.770891
2019-11,בן זכאי,2,31.8568839,34.729583
2019-11,בני דרום,4,31.8206628,34.6915762
2019-11,בני ראם,1,31.7697849,34.79065
2019-11,בניה,1,31.8434985,34.753611
2019-11,בקוע,1,31.8294277,34.9270405
2019-11,ברוש,1,31.3706542,34.6350858
2019-11,ברכיה,1,31.6678257,34.6268196
2019-11,בת הדר,1,31.646519,34.5960329
2019-11,גאליה,1,31.8846855,34.764843
2019-11,גבים,18,31.5067391,34.5991766
2019-11,גבעת ברנר,1,31.8675206,34.8004909
2019-11,גבעת וושינגטון,1,31.8168499,34.7281236
2019-11,גבעתי,3,31.7340046,34.6793054
2019-11,גדרה,3,31.8117747,34.7803882
2019-11,גזר,1,31.8770069,34.9208529
2019-11,גיאה,2,31.6275573,34.6024158
2019-11,גיזו,1,31.8041199,34.9380852
2019-11,גן הדרום,4,31.803614,34.6997994
2019-11,גן יבנה,6,31.787109,34.7096635
2019-11,גן שורק,1,31.9447315,34.7599212
2019-11,גן שלמה,1,31.8777084,34.7982712
2019-11,גני טל,1,31.7886881,34.791191
2019-11,גני יוחנן,1,31.86029,34.8407361
2019-11,דורות,1,31.506606,34.645993
2019-11,דן,1,33.2400913,35.6530878
2019-11,דפנה,1,33.2303715,35.6392634
2019-11,דקל,1,31.1953013,34.3453987
2019-11,הודיה,1,31.6738159,34.6377029
2019-11,הראל,1,31.8093796,34.9490776
2019-11,זיקים,22,31.609373,34.5221474
2019-11,זמרת ושובה,18,,
2019-11,זרועה,1,31.4593766,34.6235081
2019-11,חוות שיקמים,2,,
2019-11,חולדה,1,31.8311138,34.8828125
2019-11,חולון,3,32.0193121,34.7804076
2019-11,חולית,9,31.2318728,34.3265102
2019-11,חפץ חיים,2,31.788823,34.8000445
2019-11,חצב,2,31.7792702,34.7693634
